2021-07-05 13:40:15,827 INFO    : log id: 20210705_134015
2021-07-05 13:40:15,827 INFO    : 2-way-1-shot Few-Shot Relation Classification
2021-07-05 13:40:15,827 INFO    : model: GCAModel
2021-07-05 13:40:15,827 INFO    : encoder: bert
2021-07-05 13:40:15,827 INFO    : max_length: 200
2021-07-05 13:40:15,827 INFO    : ##############################
2021-07-05 13:40:15,827 INFO    : roberta: None
2021-07-05 13:40:15,827 INFO    : Q: 1
2021-07-05 13:40:15,827 INFO    : source domain: dvd_reviews
2021-07-05 13:40:15,827 INFO    : target domain: book_reviews
2021-07-05 13:40:15,827 INFO    : start_train_prototypical: -1
2021-07-05 13:40:15,827 INFO    : start_train_adv: 500000
2021-07-05 13:40:15,828 INFO    : start_train_dis: -1
2021-07-05 13:40:15,828 INFO    : ##############################
2021-07-05 13:40:22,745 INFO    : epoch   0: train D loss: 0.8544, train F loss: 2.2935, acc 0.0824
2021-07-05 13:40:26,864 INFO    : epoch   1: train D loss: 0.7046, train F loss: 2.2913, acc 0.0874
2021-07-05 13:40:30,951 INFO    : epoch   2: train D loss: 0.7026, train F loss: 2.2974, acc 0.0846
2021-07-05 13:40:35,036 INFO    : epoch   3: train D loss: 0.6943, train F loss: 2.2999, acc 0.0597
2021-07-05 13:40:39,148 INFO    : epoch   4: train D loss: 0.6958, train F loss: 2.2965, acc 0.0631
2021-07-05 13:40:43,218 INFO    : epoch   5: train D loss: 0.6916, train F loss: 2.2934, acc 0.0597
2021-07-05 13:40:47,289 INFO    : epoch   6: train D loss: 0.6941, train F loss: 2.2931, acc 0.0564
2021-07-05 13:40:51,366 INFO    : epoch   7: train D loss: 0.6936, train F loss: 2.2924, acc 0.0564
2021-07-05 13:40:55,434 INFO    : epoch   8: train D loss: 0.6936, train F loss: 2.2937, acc 0.0525
2021-07-05 13:40:59,558 INFO    : epoch   9: train D loss: 0.6989, train F loss: 2.2938, acc 0.0647
2021-07-05 13:41:03,632 INFO    : epoch  10: train D loss: 0.6935, train F loss: 2.3016, acc 0.0564
2021-07-05 13:41:07,727 INFO    : epoch  11: train D loss: 0.6934, train F loss: 2.2930, acc 0.0564
2021-07-05 13:41:11,839 INFO    : epoch  12: train D loss: 0.6935, train F loss: 2.2931, acc 0.0614
2021-07-05 13:41:15,924 INFO    : epoch  13: train D loss: 0.6933, train F loss: 2.2920, acc 0.0570
2021-07-05 13:41:20,071 INFO    : epoch  14: train D loss: 0.6933, train F loss: 2.2925, acc 0.0619
2021-07-05 13:41:25,128 INFO    : epoch  15: train D loss: 0.6933, train F loss: 2.2930, acc 0.0625
2021-07-05 13:41:30,411 INFO    : epoch  16: train D loss: 0.6933, train F loss: 2.2937, acc 0.0608
2021-07-05 13:41:35,685 INFO    : epoch  17: train D loss: 0.6933, train F loss: 2.2943, acc 0.0603
2021-07-05 13:41:40,993 INFO    : epoch  18: train D loss: 0.6933, train F loss: 2.2943, acc 0.0597
2021-07-05 13:41:46,282 INFO    : epoch  19: train D loss: 0.6933, train F loss: 2.2943, acc 0.0597
2021-07-05 13:41:51,574 INFO    : epoch  20: train D loss: 0.6933, train F loss: 2.2943, acc 0.0592
2021-07-05 13:41:56,869 INFO    : epoch  21: train D loss: 0.6933, train F loss: 2.2943, acc 0.0592
2021-07-05 13:42:02,162 INFO    : epoch  22: train D loss: 0.6933, train F loss: 2.2943, acc 0.0592
2021-07-05 13:42:07,445 INFO    : epoch  23: train D loss: 0.6933, train F loss: 2.2943, acc 0.0592
2021-07-05 13:42:12,721 INFO    : epoch  24: train D loss: 0.6933, train F loss: 2.2943, acc 0.0586
2021-07-05 13:42:17,961 INFO    : epoch  25: train D loss: 0.6933, train F loss: 2.2943, acc 0.0586
2021-07-05 13:42:23,246 INFO    : epoch  26: train D loss: 0.6933, train F loss: 2.2943, acc 0.0586
2021-07-05 13:42:28,502 INFO    : epoch  27: train D loss: 0.6933, train F loss: 2.2943, acc 0.0586
2021-07-05 13:42:33,734 INFO    : epoch  28: train D loss: 0.6933, train F loss: 2.2943, acc 0.0586
2021-07-05 13:42:39,028 INFO    : epoch  29: train D loss: 0.6933, train F loss: 2.2944, acc 0.0592
2021-07-05 13:42:44,322 INFO    : epoch  30: train D loss: 0.6934, train F loss: 2.2945, acc 0.0559
2021-07-05 13:42:49,625 INFO    : epoch  31: train D loss: 0.6933, train F loss: 2.2948, acc 0.0592
2021-07-05 13:42:54,908 INFO    : epoch  32: train D loss: 0.6933, train F loss: 2.2948, acc 0.0592
2021-07-05 13:43:00,199 INFO    : epoch  33: train D loss: 0.6933, train F loss: 2.2948, acc 0.0592
2021-07-05 13:43:05,510 INFO    : epoch  34: train D loss: 0.6933, train F loss: 2.2948, acc 0.0592
2021-07-05 13:43:10,737 INFO    : epoch  35: train D loss: 0.6933, train F loss: 2.2948, acc 0.0592
2021-07-05 13:43:15,990 INFO    : epoch  36: train D loss: 0.6933, train F loss: 2.2948, acc 0.0592
2021-07-05 13:43:21,253 INFO    : epoch  37: train D loss: 0.6933, train F loss: 2.2948, acc 0.0592
2021-07-05 13:43:26,561 INFO    : epoch  38: train D loss: 0.6933, train F loss: 2.2948, acc 0.0592
2021-07-05 13:43:31,840 INFO    : epoch  39: train D loss: 0.6933, train F loss: 2.2948, acc 0.0592
2021-07-05 13:43:37,116 INFO    : epoch  40: train D loss: 0.6933, train F loss: 2.2948, acc 0.0592
2021-07-05 13:43:42,445 INFO    : epoch  41: train D loss: 0.6933, train F loss: 2.2948, acc 0.0592
2021-07-05 13:43:47,723 INFO    : epoch  42: train D loss: 0.6933, train F loss: 2.2948, acc 0.0592
2021-07-05 13:43:53,023 INFO    : epoch  43: train D loss: 0.6933, train F loss: 2.2948, acc 0.0592
2021-07-05 13:43:58,362 INFO    : epoch  44: train D loss: 0.6933, train F loss: 2.2948, acc 0.0592
2021-07-05 13:44:03,631 INFO    : epoch  45: train D loss: 0.6933, train F loss: 2.2948, acc 0.0592
2021-07-05 13:44:08,934 INFO    : epoch  46: train D loss: 0.6933, train F loss: 2.2948, acc 0.0592
2021-07-05 13:44:14,219 INFO    : epoch  47: train D loss: 0.6933, train F loss: 2.2948, acc 0.0592
2021-07-05 13:44:19,503 INFO    : epoch  48: train D loss: 0.6933, train F loss: 2.2948, acc 0.0592
2021-07-05 13:44:24,800 INFO    : epoch  49: train D loss: 0.6933, train F loss: 2.2948, acc 0.0592
2021-07-05 13:44:30,082 INFO    : epoch  50: train D loss: 0.6933, train F loss: 2.2948, acc 0.0592
2021-07-05 13:44:35,366 INFO    : epoch  51: train D loss: 0.6933, train F loss: 2.2948, acc 0.0592
2021-07-05 13:44:40,675 INFO    : epoch  52: train D loss: 0.6933, train F loss: 2.2948, acc 0.0592
2021-07-05 13:44:45,977 INFO    : epoch  53: train D loss: 0.6933, train F loss: 2.2948, acc 0.0592
2021-07-05 13:44:51,263 INFO    : epoch  54: train D loss: 0.6933, train F loss: 2.2948, acc 0.0592
2021-07-05 13:44:56,533 INFO    : epoch  55: train D loss: 0.6933, train F loss: 2.2948, acc 0.0592
2021-07-05 13:45:01,774 INFO    : epoch  56: train D loss: 0.6933, train F loss: 2.2948, acc 0.0592
2021-07-05 13:45:07,049 INFO    : epoch  57: train D loss: 0.6933, train F loss: 2.2948, acc 0.0592
2021-07-05 13:45:12,347 INFO    : epoch  58: train D loss: 0.6933, train F loss: 2.2948, acc 0.0592
2021-07-05 13:45:17,624 INFO    : epoch  59: train D loss: 0.6933, train F loss: 2.2948, acc 0.0592
2021-07-05 13:45:22,906 INFO    : epoch  60: train D loss: 0.6933, train F loss: 2.2948, acc 0.0592
2021-07-05 13:45:28,209 INFO    : epoch  61: train D loss: 0.6933, train F loss: 2.2948, acc 0.0592
2021-07-05 13:45:33,494 INFO    : epoch  62: train D loss: 0.6933, train F loss: 2.2948, acc 0.0592
2021-07-05 13:45:38,753 INFO    : epoch  63: train D loss: 0.6933, train F loss: 2.2948, acc 0.0592
2021-07-05 13:45:44,039 INFO    : epoch  64: train D loss: 0.6933, train F loss: 2.2948, acc 0.0592
2021-07-05 13:45:49,349 INFO    : epoch  65: train D loss: 0.6933, train F loss: 2.2948, acc 0.0592
2021-07-05 13:45:54,659 INFO    : epoch  66: train D loss: 0.6933, train F loss: 2.2948, acc 0.0592
2021-07-05 13:45:59,947 INFO    : epoch  67: train D loss: 0.6933, train F loss: 2.2948, acc 0.0592
2021-07-05 13:46:05,205 INFO    : epoch  68: train D loss: 0.6933, train F loss: 2.2948, acc 0.0592
2021-07-05 13:46:10,463 INFO    : epoch  69: train D loss: 0.6933, train F loss: 2.2948, acc 0.0592
2021-07-05 13:46:15,711 INFO    : epoch  70: train D loss: 0.6933, train F loss: 2.2948, acc 0.0592
2021-07-05 13:46:20,958 INFO    : epoch  71: train D loss: 0.6933, train F loss: 2.2948, acc 0.0592
2021-07-05 13:46:26,210 INFO    : epoch  72: train D loss: 0.6933, train F loss: 2.2948, acc 0.0592
2021-07-05 13:46:31,442 INFO    : epoch  73: train D loss: 0.6933, train F loss: 2.2948, acc 0.0592
2021-07-05 13:46:36,688 INFO    : epoch  74: train D loss: 0.6933, train F loss: 2.2948, acc 0.0592
2021-07-05 13:46:41,926 INFO    : epoch  75: train D loss: 0.6933, train F loss: 2.2948, acc 0.0592
2021-07-05 13:46:47,215 INFO    : epoch  76: train D loss: 0.6933, train F loss: 2.2948, acc 0.0592
